nom,dsit,serial,famille,marque,modele,salle
ARCENCIEL-04,C2205P499,CNU9481CVV,PC,HP,"PROBOOK 4510S","Salle 116"
CAM_Canon,C2205X317,693692101701,CAMESCOPE,CANON,MD255E,"secrétariat Principal"
CDI-IMP,C2205I486,NC79663,IMPRIMANTE,HP,960C,CDI
Ecran_de_SDC-009-01,C2205E367,QAN065232927,ECRAN,VIEWSONIC,VA703,"Salle 009"
Ecran_SDC-007-03,C2205E247,FAGJ280100617,ECRAN,MAGIC,786N,STOCK
Ecran_SDC-007-11,C2205E248,FAGJ280100614,ECRAN,MAGIC,786N,STOCK
Ecran_SDC-008-04,C2205E263,FAGJ280100615,ECRAN,MAGIC,786N,STOCK
Ecran_SDC-008-08,C2205E264,FAGJ280100360,ECRAN,MAGIC,786N,STOCK
Ecran_SDC-008-12,C2205E266,24106535,ECRAN,CTX,VL700,STOCK
Ecran_SDC-008-13,C2205E265,FAGJ280100626,ECRAN,MAGIC,786N,STOCK
Ecran_SDC-110-01,C2205E161,L800C0274022,ECRAN,ACER,AL1916W,"Salle 110"
Ecran_SDC-110-01,C2205E162,H6G018909,ECRAN,HITACHI,PROJECTOR,"Salle 110"
Ecran_SDC-110-02,C2205E243,FAGJ280100356,ECRAN,MAGIC,786N,"Salle 110"
portable-avs,C2205P495,CNU9513C7G,PC,HP,"PROBOOK 4510S","BUREAU ATI"
SAM4720,C2205I253,8S30BAAP207917V,IMPRIMANTE,SAMSUNG,SCX-4720FN,"Salle 010"
VP-107,C2205X286,H6G018916,VIDEOPROJECTEUR,HITACHI,CP-RS55,"Salle 107"
